DateTime,Open,High,Low,Close
2025-01-02 13:00:00,582.89,585.38,580.5,584.92
2025-01-02 17:00:00,584.95,586.21,584.11,585.75
2025-01-03 13:00:00,590.69,592.6,590.2,591.49
2025-01-03 17:00:00,591.54,592.07,591.5,592.04
2025-01-06 13:00:00,597.76,597.79,593.6,595.9
2025-01-06 17:00:00,595.84,596.21,595.15,595.53
2025-01-07 13:00:00,590.91,592.41,586.78,588.72
2025-01-07 17:00:00,588.76,590.32,588.18,590.2
2025-01-08 13:00:00,586.94,590.58,586.88,588.96
2025-01-08 17:00:00,588.91,589.14,587.53,588.17
2025-01-10 13:00:00,581.55,584.5,579.7,580.03
2025-01-10 17:00:00,580.03,580.1,579.66,579.78
2025-01-13 13:00:00,579.46,582.25,578.88,582.15
2025-01-13 17:00:00,582.14,583.93,582.07,582.95
2025-01-14 13:00:00,580.21,584.0,578.9,583.07
2025-01-14 17:00:00,583.04,583.05,582.41,582.79
2025-01-15 13:00:00,591.0,593.94,591.0,592.68
2025-01-15 17:00:00,592.67,594.02,592.52,593.11
2025-01-16 13:00:00,592.97,593.54,590.35,591.0
2025-01-16 17:00:00,591.03,592.6,590.86,592.54
2025-01-17 13:00:00,598.89,599.36,597.0,597.45
2025-01-17 17:00:00,597.45,597.7,597.19,597.69
2025-01-21 13:00:00,602.44,603.56,601.67,603.4
2025-01-21 17:00:00,603.43,604.42,602.98,604.16
2025-01-22 13:00:00,607.3,607.63,605.86,606.3
2025-01-22 17:00:00,606.3,606.34,605.71,605.71
2025-01-23 13:00:00,607.68,609.75,607.31,609.26
2025-01-23 17:00:00,609.28,609.75,605.79,609.28
2025-01-24 13:00:00,608.68,608.91,606.8,607.83
2025-01-24 17:00:00,607.82,607.86,607.4,607.49
2025-01-27 13:00:00,596.19,600.36,596.03,599.76
2025-01-27 17:00:00,599.74,600.68,598.36,598.36
2025-01-28 13:00:00,603.85,605.37,603.23,604.0
2025-01-28 17:00:00,604.05,604.24,603.53,604.1
2025-01-29 13:00:00,602.1,604.7,599.22,602.62
2025-01-29 17:00:00,602.35,604.3,601.14,603.98
2025-01-30 13:00:00,603.34,606.6,601.82,604.2
2025-01-30 17:00:00,604.11,607.0,604.07,607.0
2025-01-31 13:00:00,609.1,609.34,601.05,601.83
2025-01-31 17:00:00,601.87,601.96,598.81,598.98
2025-02-03 13:00:00,597.34,601.44,596.08,600.84
2025-02-03 17:00:00,600.82,602.05,599.33,599.84
2025-02-04 13:00:00,600.98,602.3,599.75,600.08
2025-02-04 17:00:00,600.01,600.86,599.48,599.8
2025-02-05 13:00:00,602.67,604.72,602.0,604.52
2025-02-05 17:00:00,604.57,605.07,604.26,604.88
2025-02-06 13:00:00,605.61,606.47,602.63,605.12
2025-02-06 17:00:00,605.17,606.65,604.5,606.46
2025-02-07 13:00:00,602.17,606.42,600.05,600.87
2025-02-07 17:00:00,600.96,601.1,600.21,600.23
2025-02-10 13:00:00,604.58,605.5,604.2,604.7
2025-02-10 17:00:00,604.69,604.77,603.22,603.61
2025-02-11 13:00:00,603.75,605.86,603.5,605.04
2025-02-11 17:00:00,605.05,605.63,604.68,605.57
2025-02-12 13:00:00,604.4,604.55,602.53,604.04
2025-02-12 17:00:00,604.0,604.8,603.76,604.5
2025-02-13 13:00:00,606.17,609.94,604.99,609.4
2025-02-13 17:00:00,609.4,610.76,609.2,610.75
